,Pair,XSquared,Adjacent
0,"['temporal', 'frontal']",184.2028777174953,1.0
1,"['parietal', 'frontal']",331.45484801006523,1.0
2,"['parietal', 'temporal']",267.3605276164933,1.0
3,"['occipital', 'frontal']",81.292802109426,0.0
4,"['occipital', 'temporal']",118.9843176756613,1.0
5,"['occipital', 'parietal']",159.05895291651967,1.0
6,"['limbic', 'frontal']",17.086865045536964,1.0
7,"['limbic', 'temporal']",16.85875892962213,1.0
8,"['limbic', 'parietal']",0.25851962739551754,1.0
9,"['limbic', 'occipital']",1.5783992097164279,1.0
10,"['cerebrum', 'frontal']",6.233846003442049,0.5
11,"['cerebrum', 'temporal']",4.25979455270221,0.5
12,"['cerebrum', 'parietal']",1.0376387355181644,0.5
13,"['cerebrum', 'occipital']",11.788980769795765,0.5
14,"['cerebrum', 'limbic']",0.04134361061945554,0.5
15,"['cerebellum', 'frontal']",5.741608923149829,0.0
16,"['cerebellum', 'temporal']",3.803885898004479,1.0
17,"['cerebellum', 'parietal']",1.467270974910348,0.0
18,"['cerebellum', 'occipital']",0.17654620270818996,1.0
19,"['cerebellum', 'limbic']",2.5570161921949093,1.0
20,"['cerebellum', 'cerebrum']",14.758764710846963,0.5
21,"['thalamus', 'frontal']",0.9561208558517663,0.0
22,"['thalamus', 'temporal']",0.7780323729848287,0.0
23,"['thalamus', 'parietal']",0.6265662775625194,0.0
24,"['thalamus', 'occipital']",0.018588390396637216,0.0
25,"['thalamus', 'limbic']",28.90655513202381,0.0
26,"['thalamus', 'cerebrum']",6.264004401803,0.0
27,"['thalamus', 'cerebellum']",19.558960814968458,0.0
28,"['hypothalamus', 'frontal']",4.148469096656907,0.0
29,"['hypothalamus', 'temporal']",21.289924179814637,0.0
30,"['hypothalamus', 'parietal']",18.81432777294737,0.0
31,"['hypothalamus', 'occipital']",4.564874648999132,0.0
32,"['hypothalamus', 'limbic']",37.63675777943241,0.0
33,"['hypothalamus', 'cerebrum']",1.440815846696394,0.0
34,"['hypothalamus', 'cerebellum']",2.6271389514531793,0.0
35,"['hypothalamus', 'thalamus']",89.5465330663872,1.0
36,"['hippocampus', 'frontal']",16.927496408646466,0.0
37,"['hippocampus', 'temporal']",11.09358715771397,0.0
38,"['hippocampus', 'parietal']",10.332041832154795,0.0
39,"['hippocampus', 'occipital']",5.738290523784612,0.0
40,"['hippocampus', 'limbic']",20.901432789967814,0.0
41,"['hippocampus', 'cerebrum']",2.877724751442975,0.0
42,"['hippocampus', 'cerebellum']",7.520014719111112,0.0
43,"['hippocampus', 'thalamus']",3.2342041786298203,1.0
44,"['hippocampus', 'hypothalamus']",2.6517889162521624,1.0
45,"['amygdala', 'frontal']",0.2862966191492944,0.0
46,"['amygdala', 'temporal']",8.642768041603116,0.0
47,"['amygdala', 'parietal']",2.999291718522763,0.0
48,"['amygdala', 'occipital']",5.115454846193425,0.0
49,"['amygdala', 'limbic']",155.31261131397198,0.0
50,"['amygdala', 'cerebrum']",0.00641168128157533,0.0
51,"['amygdala', 'cerebellum']",7.80659237416393,0.0
52,"['amygdala', 'thalamus']",20.497705558293614,1.0
53,"['amygdala', 'hypothalamus']",144.95849353159383,1.0
54,"['amygdala', 'hippocampus']",29.444640896027725,1.0
55,"['midbrain', 'frontal']",5.4905162392780715,0.0
56,"['midbrain', 'temporal']",10.841090296174185,0.0
57,"['midbrain', 'parietal']",7.008459542778411,0.0
58,"['midbrain', 'occipital']",4.662502187524387,0.0
59,"['midbrain', 'limbic']",6.94562174303725,0.0
60,"['midbrain', 'cerebrum']",4.225552547933601,0.0
61,"['midbrain', 'cerebellum']",5.740471200466775,1.0
62,"['midbrain', 'thalamus']",30.335012829439282,1.0
63,"['midbrain', 'hypothalamus']",77.40347088912503,1.0
64,"['midbrain', 'hippocampus']",10.260858236860125,0.0
65,"['midbrain', 'amygdala']",4.898899596635972,0.0
66,"['pons', 'frontal']",1.8949173944962339,0.0
67,"['pons', 'temporal']",1.6699466392370392,0.0
68,"['pons', 'parietal']",1.016892314846279,0.0
69,"['pons', 'occipital']",2.199336707976959,0.0
70,"['pons', 'limbic']",1.8864935593758925,0.0
71,"['pons', 'cerebrum']",0.015042027937371232,0.0
72,"['pons', 'cerebellum']",18.46919741673947,1.0
73,"['pons', 'thalamus']",0.7019912221970416,0.0
