,0,1
0,"['temporal', 'frontal']",1
1,"['parietal', 'frontal']",1
2,"['parietal', 'temporal']",1
3,"['occipital', 'frontal']",0
4,"['occipital', 'temporal']",1
5,"['occipital', 'parietal']",1
6,"['limbic', 'frontal']",1
7,"['limbic', 'temporal']",1
8,"['limbic', 'parietal']",1
9,"['limbic', 'occipital']",1
10,"['cerebrum', 'frontal']",0.5
11,"['cerebrum', 'temporal']",0.5
12,"['cerebrum', 'parietal']",0.5
13,"['cerebrum', 'occipital']",0.5
14,"['cerebrum', 'limbic']",0.5
15,"['cerebellum', 'frontal']",0
16,"['cerebellum', 'temporal']",1
17,"['cerebellum', 'parietal']",0
18,"['cerebellum', 'occipital']",1
19,"['cerebellum', 'limbic']",1
20,"['cerebellum', 'cerebrum']",0.5
21,"['thalamus', 'frontal']",0
22,"['thalamus', 'temporal']",0
23,"['thalamus', 'parietal']",0
24,"['thalamus', 'occipital']",0
25,"['thalamus', 'limbic']",0
26,"['thalamus', 'cerebrum']",0
27,"['thalamus', 'cerebellum']",0
28,"['hypothalamus', 'frontal']",0
29,"['hypothalamus', 'temporal']",0
30,"['hypothalamus', 'parietal']",0
31,"['hypothalamus', 'occipital']",0
32,"['hypothalamus', 'limbic']",0
33,"['hypothalamus', 'cerebrum']",0
34,"['hypothalamus', 'cerebellum']",0
35,"['hypothalamus', 'thalamus']",1
36,"['hippocampus', 'frontal']",0
37,"['hippocampus', 'temporal']",0
38,"['hippocampus', 'parietal']",0
39,"['hippocampus', 'occipital']",0
40,"['hippocampus', 'limbic']",0
41,"['hippocampus', 'cerebrum']",0
42,"['hippocampus', 'cerebellum']",0
43,"['hippocampus', 'thalamus']",1
44,"['hippocampus', 'hypothalamus']",1
45,"['amygdala', 'frontal']",0
46,"['amygdala', 'temporal']",0
47,"['amygdala', 'parietal']",0
48,"['amygdala', 'occipital']",0
49,"['amygdala', 'limbic']",0
50,"['amygdala', 'cerebrum']",0
51,"['amygdala', 'cerebellum']",0
52,"['amygdala', 'thalamus']",1
53,"['amygdala', 'hypothalamus']",1
54,"['amygdala', 'hippocampus']",1
55,"['midbrain', 'frontal']",0
56,"['midbrain', 'temporal']",0
57,"['midbrain', 'parietal']",0
58,"['midbrain', 'occipital']",0
59,"['midbrain', 'limbic']",0
60,"['midbrain', 'cerebrum']",0
61,"['midbrain', 'cerebellum']",1
62,"['midbrain', 'thalamus']",1
63,"['midbrain', 'hypothalamus']",1
64,"['midbrain', 'hippocampus']",0
65,"['midbrain', 'amygdala']",0
66,"['pons', 'frontal']",0
67,"['pons', 'temporal']",0
68,"['pons', 'parietal']",0
69,"['pons', 'occipital']",0
70,"['pons', 'limbic']",0
71,"['pons', 'cerebrum']",0
72,"['pons', 'cerebellum']",1
73,"['pons', 'thalamus']",0
74,"['pons', 'hypothalamus']",0
75,"['pons', 'hippocampus']",0
76,"['pons', 'amygdala']",0
77,"['pons', 'midbrain']",1
78,"['medula', 'frontal']",0
79,"['medula', 'temporal']",0
80,"['medula', 'parietal']",0
81,"['medula', 'occipital']",0
82,"['medula', 'limbic']",0
83,"['medula', 'cerebrum']",0
84,"['medula', 'cerebellum']",1
85,"['medula', 'thalamus']",0
86,"['medula', 'hypothalamus']",0
87,"['medula', 'hippocampus']",0
88,"['medula', 'amygdala']",0
89,"['medula', 'midbrain']",0
90,"['medula', 'pons']",1
91,"['brainstem', 'frontal']",0
92,"['brainstem', 'temporal']",0.5
93,"['brainstem', 'parietal']",0
94,"['brainstem', 'occipital']",0
95,"['brainstem', 'limbic']",0.5
96,"['brainstem', 'cerebrum']",0.5
97,"['brainstem', 'cerebellum']",0.5
98,"['brainstem', 'thalamus']",0.5
99,"['brainstem', 'hypothalamus']",0.5
100,"['brainstem', 'hippocampus']",0
101,"['brainstem', 'amygdala']",0
102,"['brainstem', 'midbrain']",0.5
103,"['brainstem', 'pons']",0.5
104,"['brainstem', 'medula']",0.5
